+-------------------------------------------------------------------------+---------------------------------------------------------------------------+------+----+------+
|                                   Text                                  |                                Translation                                | From | To | key  |
|                                moratoria                                |                                 moratorium                                |  es  | en | 650  |
|                             deuda no vencida                            |                              debt outstanding                             |  es  | en | 651  |
|                                rescatable                               |                                salvageable                                |  es  | en | 652  |
|               pérdida trasladable a ejercicios anteriores               |                      transferable to prior years loss                     |  es  | en | 653  |
|                                 subsidio                                |                                  subsidy                                  |  es  | en | 654  |
|                       reestructuración del capital                      |                           capital restructuring                           |  es  | en | 655  |
|                             toma de control                             |                                  takeover                                 |  es  | en | 656  |
|                                  ensayo                                 |                                   trial                                   |  es  | en | 657  |
|                                 mercado                                 |                                   market                                  |  es  | en | 658  |
|                          rendimiento descontado                         |                           discounted performance                          |  es  | en | 659  |
|                         dividendo compensatorio                         |                           compensatory dividend                           |  es  | en | 660  |
|               precio de ejercicio ajustado por di-videndos              |                exercise price adjusted for dividend income                |  es  | en | 661  |
|                           bienes sustitutivos                           |                              substitute goods                             |  es  | en | 662  |
|                            gestión de riesgo                            |                              risk management                              |  es  | en | 663  |
|                         dividendo extraordinario                        |                           extraordinary dividend                          |  es  | en | 664  |
|                               saldo final                               |                               final balance                               |  es  | en | 665  |
|                              renta nacional                             |                              national income                              |  es  | en | 666  |
|                               copropiedad                               |                                 ownership                                 |  es  | en | 667  |
|                         fondo de doble propósito                        |                            dual purpose bottom                            |  es  | en | 668  |
|                                resultado                                |                                   result                                  |  es  | en | 669  |
|                           analista de créditos                          |                               credit analyst                              |  es  | en | 670  |
|                              valor residual                             |                               residual value                              |  es  | en | 671  |
|                    ciclo económico de las industrias                    |                      business cycle of the industries                     |  es  | en | 672  |
|                        intermediacion financiera                        |                          Financial intermediation                         |  es  | en | 673  |
|                             balanza de pagos                            |                            balance of payments                            |  es  | en | 674  |
|                           costo irrecuperable                           |                                 sunk cost                                 |  es  | en | 675  |
|                     fondo común de inversión cerrado                    |                             mutual fund closed                            |  es  | en | 676  |
|                      diversificación de la liquidez                     |                        diversification of liquidity                       |  es  | en | 677  |
|                           cotización de cierre                          |                               closing price                               |  es  | en | 678  |
|                               sede central                              |                                headquarters                               |  es  | en | 679  |
|                            apertura demorada                            |                              Delayed Opening                              |  es  | en | 680  |
|                           reservas de capital                           |                              capital reserves                             |  es  | en | 681  |
|                          fondo de amortización                          |                                sinking fund                               |  es  | en | 682  |
|                   acciones preferidas no acumulativas                   |                      Non-cumulative preferred shares                      |  es  | en | 683  |
|                                  actor                                  |                                   actor                                   |  es  | en | 684  |
|                             sociedad gerente                            |                              managing company                             |  es  | en | 685  |
|                        crédito para exportaciones                       |                               export credit                               |  es  | en | 686  |
|                            pasivo circulante                            |                                liabilities                                |  es  | en | 687  |
|                                 holding                                 |                              holding company                              |  es  | en | 688  |
|                tasa aplicada a adelantos contra garantías               |                rate applied to advances against collateral                |  es  | en | 689  |
|                       precio final sin comisiones                       |                         final price no commission                         |  es  | en | 690  |
|                          cláusula de protección                         |                             protection clause                             |  es  | en | 691  |
|                           depósito de garantía                          |                              security deposit                             |  es  | en | 692  |
|                                 utilidad                                |                                  utility                                  |  es  | en | 693  |
|                             costo histórico                             |                              historical cost                              |  es  | en | 694  |
|                              junta arbitral                             |                             arbitration board                             |  es  | en | 695  |
|                        coeficiente de correlación                       |                          correlation coefficient                          |  es  | en | 696  |
|                                  escala                                 |                                   scale                                   |  es  | en | 697  |
|                          tipo de cambio oficial                         |                           official exchange rate                          |  es  | en | 698  |
|                                obligación                               |                                 obligation                                |  es  | en | 699  |
|                              venta forzosa                              |                                forced sale                                |  es  | en | 700  |
|                      acción financiada con crédito                      |                           action financed credit                          |  es  | en | 701  |
|                                 variable                                |                                  variable                                 |  es  | en | 702  |
|                           orden de cancelación                          |                             cancellation order                            |  es  | en | 703  |
|                          comité de inversiones                          |                            investment committee                           |  es  | en | 704  |
|                              cuotapartista                              |                               cuotapartista                               |  es  | en | 705  |
|                                 acciones                                |                                  actions                                  |  es  | en | 706  |
|                    contrato de futuros sobre divisas                    |                         Currency futures contract                         |  es  | en | 707  |
|                          amortización acumulada                         |                          accumulated amortization                         |  es  | en | 708  |
|                         estancamiento económico                         |                            economic stagnation                            |  es  | en | 709  |
|                             activos líquidos                            |                                 Cash Flow                                 |  es  | en | 710  |
|                                 contango                                |                                  contango                                 |  es  | en | 711  |
|                         operación no concretada                         |                           concretized operation                           |  es  | en | 712  |
|                                endosante                                |                                  endorser                                 |  es  | en | 713  |
|                            ganancia imponible                           |                               taxable income                              |  es  | en | 714  |
|                      inversor de lotes incompletos                      |                         incomplete batch inverter                         |  es  | en | 715  |
|                           déficit de recursos                           |                                resource gap                               |  es  | en | 716  |
|                               requisicion                               |                                requisition                                |  es  | en | 717  |
|                            superintendencias                            |                              superintendents                              |  es  | en | 718  |
|                           precio de la emisión                          |                                issue price                                |  es  | en | 719  |
|                             activo corriente                            |                               current assets                              |  es  | en | 720  |
|                       estados contables combinados                      |                       combined financial statements                       |  es  | en | 721  |
|                            cartera con deuda                            |                               debt portfolio                              |  es  | en | 722  |
|                             gastos directos                             |                                direct costs                               |  es  | en | 723  |
|                     acciones restringidas al público                    |                      restricted shares to the public                      |  es  | en | 724  |
|                              aval bancario                              |                               bank guarantee                              |  es  | en | 725  |
|                        orden de retiro negociable                       |                       negotiable order of withdrawal                      |  es  | en | 726  |
|                             marca registrada                            |                              registered mark                              |  es  | en | 727  |
|                       relación real de intercambio                      |                               terms of trade                              |  es  | en | 728  |
|                       certificado de participación                      |                        certificate of participation                       |  es  | en | 729  |
|                                  cesión                                 |                                 assignment                                |  es  | en | 730  |
|                          mercado de compradores                         |                               Buyers Market                               |  es  | en | 731  |
|                     penalidad por salida anticipada                     |                          early departure penalty                          |  es  | en | 732  |
|                       arrendamiento a largo plazo                       |                              long-term lease                              |  es  | en | 733  |
|                      fluctuación máxima de precios                      |                         maximum fluctuation rates                         |  es  | en | 734  |
|                                comunidad                                |                                 community                                 |  es  | en | 735  |
|                               casa matriz                               |                                headquarters                               |  es  | en | 736  |
|                             póliza de seguro                            |                              insurance policy                             |  es  | en | 737  |
|                               autocartera                               |                                  treasury                                 |  es  | en | 738  |
|                             opción cotizante                            |                             option contributor                            |  es  | en | 739  |
|                   derecho exclusivo de emitir billetes                  |                     exclusive right to issue banknotes                    |  es  | en | 740  |
|                               arbitrajista                              |                                arbitrageur                                |  es  | en | 741  |
|                                deflación                                |                                 deflation                                 |  es  | en | 742  |
|                           ganancias ordinarias                          |                              ordinary income                              |  es  | en | 743  |
|                             bienes durables                             |                               durable goods                               |  es  | en | 744  |
|                            meta de produccion                           |                             production target                             |  es  | en | 745  |
|                           depósitos a la vista                          |                                  deposits                                 |  es  | en | 746  |
|                                renta fija                               |                                fixed income                               |  es  | en | 747  |
|                            economia politica                            |                             political economy                             |  es  | en | 748  |
|                          acreedor privilegiado                          |                             preferred creditor                            |  es  | en | 749  |
|                     crédito fiscal a las inversiones                    |                           investment tax credit                           |  es  | en | 750  |
|                        tasas de interés flotante                        |                          floating interest rates                          |  es  | en | 751  |
|                        participación mayoritaria                        |                                  majority                                 |  es  | en | 752  |
|                                  minuta                                 |                                    bill                                   |  es  | en | 753  |
|                           inversión por valor                           |                              investment worth                             |  es  | en | 754  |
|                         bienes de consumo masivo                        |                                    FMCG                                   |  es  | en | 755  |
|                       intereses pendientes de pago                      |                            outstanding interest                           |  es  | en | 756  |
|                           compañía subsidiaria                          |                                 subsidiary                                |  es  | en | 757  |
|                            cotización nominal                           |                                nominal rate                               |  es  | en | 758  |
|                            encargo fiduciario                           |                              trust management                             |  es  | en | 759  |
|                       bono respaldado por equipos                       |                           equipment backed bond                           |  es  | en | 760  |
|                           valor de conversión                           |                              conversion value                             |  es  | en | 761  |
|                            bonos del gobierno                           |                              government bonds                             |  es  | en | 762  |
|                            factor secundario                            |                              secondary factor                             |  es  | en | 763  |
|                             ley de ingresos                             |                                revenue law                                |  es  | en | 764  |
|                            empresa editorial                            |                                 publisher                                 |  es  | en | 765  |
|                     valor unitario de la cuotaparte                     |                           cuotaparte unit value                           |  es  | en | 766  |
|                                 discreto                                |                                  discrete                                 |  es  | en | 767  |
|                      acción de dividendos elevados                      |                            high dividend action                           |  es  | en | 768  |
|                           punto de equilibrio                           |                                 breakeven                                 |  es  | en | 769  |
|                           demanda no elástica                           |                              inelastic demand                             |  es  | en | 770  |
|                               capitalismo                               |                                 capitalism                                |  es  | en | 771  |
|                                  cupón                                  |                                   coupon                                  |  es  | en | 772  |
|                            precio justificado                           |                              justified price                              |  es  | en | 773  |
|                              costo estimado                             |                               estimated cost                              |  es  | en | 774  |
|                        fondo de inversión cerrado                       |                              closed end fund                              |  es  | en | 775  |
|                        línea de crédito bancaria                        |                              bank credit line                             |  es  | en | 776  |
|                            operación de canje                           |                                    swap                                   |  es  | en | 777  |
|                             cupón semestral                             |                             semiannual coupon                             |  es  | en | 778  |
|                            mercado cambiario                            |                              exchange market                              |  es  | en | 779  |
|                            cotización mínima                            |                            minimum contribution                           |  es  | en | 780  |
|                           endoso no a la orden                          |                          endorsement not to order                         |  es  | en | 781  |
|                     mercado secundario de hipotecas                     |                         secondary mortgage market                         |  es  | en | 782  |
|                              atesoramiento                              |                                  hoarding                                 |  es  | en | 783  |
|                           operación de cierre                           |                             closing operation                             |  es  | en | 784  |
|                              interposición                              |                               interposition                               |  es  | en | 785  |
|                             corrida bancaria                            |                                  bank run                                 |  es  | en | 786  |
|                      institución sin fines de lucro                     |                           nonprofit institution                           |  es  | en | 787  |
|                      recta del mercado de capitales                     |                            capital market line                            |  es  | en | 788  |
|                            escala de precios                            |                                price range                                |  es  | en | 789  |
|                          moratoria de la deuda                          |                              debt moratorium                              |  es  | en | 790  |
|                               especulación                              |                                speculation                                |  es  | en | 791  |
|                               riesgo-país                               |                                country risk                               |  es  | en | 792  |
|                                  colón                                  |                                  Columbus                                 |  es  | en | 793  |
|                           liquidar posiciones                           |                            liquidate positions                            |  es  | en | 794  |
|                              sin dividendo                              |                                no dividend                                |  es  | en | 795  |
|                       fondo de acciones ordinarias                      |                                fund shares                                |  es  | en | 796  |
|                           análisis cualitativo                          |                            qualitative analysis                           |  es  | en | 797  |
|                             porción conyugal                            |                                  spousal                                  |  es  | en | 798  |
|                              bono rembrandt                             |                              rembrandt bonus                              |  es  | en | 799  |
|                    derecho preferente de suscripción                    |                      preferential subscription rights                     |  es  | en | 800  |
|                                regla del                                |                                    rule                                   |  es  | en | 801  |
|                             bien incorporal                             |                                 intangible                                |  es  | en | 802  |
|                             recursos humanos                            |                              human resources                              |  es  | en | 803  |
|                          expectativas otorgadas                         |                             expectations given                            |  es  | en | 804  |
|                            promedio variable                            |                               moving average                              |  es  | en | 805  |
|                         plan de pagos periódicos                        |                           periodic payment plan                           |  es  | en | 806  |
|                              fecha de pago                              |                                payment date                               |  es  | en | 807  |
|                               valor actual                              |                               current value                               |  es  | en | 808  |
|                          obligación hipotecaria                         |                            mortgage obligation                            |  es  | en | 809  |
|                         servicios estandarizados                        |                           standardized services                           |  es  | en | 810  |
|                           alza de cotizaciones                          |                                prices rise                                |  es  | en | 811  |
|                              bono ajustable                             |                              Adjustable bonus                             |  es  | en | 812  |
|                  agente bursátil accionista de la bolsa                 |                       broker shareholder of the bag                       |  es  | en | 813  |
|                        hipoteca de tasa flotante                        |                           floating rate mortgage                          |  es  | en | 814  |
|                         tipo de cambio flotante                         |                           floating exchange rate                          |  es  | en | 815  |
|                           bono no garantizado                           |                               unsecured bond                              |  es  | en | 816  |
|                           banco multinacional                           |                             multinational bank                            |  es  | en | 817  |
|                                  franco                                 |                                   frank                                   |  es  | en | 818  |
|                          orden a precio cierto                          |                            certain price order                            |  es  | en | 819  |
|                             precio de oferta                            |                                offer price                                |  es  | en | 820  |
|                             aval financiero                             |                            financial guarantee                            |  es  | en | 821  |
|                                 donación                                |                                  donation                                 |  es  | en | 822  |
|                             acción ilíquida                             |                              illiquid action                              |  es  | en | 823  |
|                             retorno nominal                             |                               nominal return                              |  es  | en | 824  |
|                                 crédito                                 |                                   credit                                  |  es  | en | 825  |
|                            asientos de ajuste                           |                             adjusting entries                             |  es  | en | 826  |
|                           mercado de capitales                          |                               capital market                              |  es  | en | 827  |
|                            grupo empresarial                            |                               business group                              |  es  | en | 828  |
|                      crédito con garantía especial                      |                           Special secured credit                          |  es  | en | 829  |
|                      acciones con opciones vigentes                     |                         shares outstanding options                        |  es  | en | 830  |
|                                acreedores                               |                                 creditors                                 |  es  | en | 831  |
|                         cláusula de penalización                        |                               penalty clause                              |  es  | en | 832  |
|                    acciones emitidas y en circulación                   |                       shares issued and outstanding                       |  es  | en | 833  |
|                                eurodólar                                |                                 Eurodollar                                |  es  | en | 834  |
|                           comisión compartida                           |                             shared commitment                             |  es  | en | 835  |
|                                pago anual                               |                               annual payment                              |  es  | en | 836  |
|                         crecimiento equilibrado                         |                              balanced growth                              |  es  | en | 837  |
|                                beneficio                                |                                  benefit                                  |  es  | en | 838  |
|                            exceso de demanda                            |                               excess demand                               |  es  | en | 839  |
|                           acciones en caución                           |                               escrow shares                               |  es  | en | 840  |
|                               inscripción                               |                                registration                               |  es  | en | 841  |
|                           clearing de títulos                           |                            securities clearing                            |  es  | en | 842  |
|                            aviso de reintegro                           |                          notice of reinstatement                          |  es  | en | 843  |
|                         construcción de carteras                        |                           portfolio construction                          |  es  | en | 844  |
|                           analisis financiero                           |                             financial analysis                            |  es  | en | 845  |
|                             coeficiente rho                             |                                    rho                                    |  es  | en | 846  |
|                   derechos de los socios minoritarios                   |                      rights of minority shareholders                      |  es  | en | 847  |
|                           corredor de seguros                           |                              insurance broker                             |  es  | en | 848  |
|                            compañía inactiva                            |                              dormant company                              |  es  | en | 849  |
|                            sistema monetario                            |                              monetary system                              |  es  | en | 850  |
|                              dinero ocioso                              |                                 idle money                                |  es  | en | 851  |
|                  cuantificación en términos monetarios                  |                      quantification in monetary terms                     |  es  | en | 852  |
|                    sociedad en comandita por acciones                   |                         company limited by shares                         |  es  | en | 853  |
|                               alza técnica                              |                               technical hike                              |  es  | en | 854  |
|                                oligopolio                               |                                 oligopoly                                 |  es  | en | 855  |
|                                 factoría                                |                                  factory                                  |  es  | en | 856  |
|                      persona vinculada a la empresa                     |                       person related to the company                       |  es  | en | 857  |
|                      comprar al cierre de la rueda                      |                          buy the end of the wheel                         |  es  | en | 858  |
|                           acciones revoleadas                           |                             revoleadas actions                            |  es  | en | 859  |
|                             demanda agregada                            |                              aggregate demand                             |  es  | en | 860  |
|                                directorio                               |                                 directory                                 |  es  | en | 861  |
|                  tipo de cambio al cierre del ejercicio                 |                         exchange rate at year end                         |  es  | en | 862  |
|                       banco internacional de pagos                      |                        international bank payments                        |  es  | en | 863  |
|                                subyacente                               |                                 underlying                                |  es  | en | 864  |
|                              banco nacional                             |                               national bank                               |  es  | en | 865  |
|                           ganancias por acción                          |                             earnings per share                            |  es  | en | 866  |
|                                factoraje                                |                                 Factoring                                 |  es  | en | 867  |
|                                  gastos                                 |                                  expenses                                 |  es  | en | 868  |
|                         calificación provisoria                         |                             provisional rating                            |  es  | en | 869  |
|                         mercado de bonos yankee                         |                             Yankee bond market                            |  es  | en | 870  |
|                     programa de recompra de acciones                    |                           share buyback program                           |  es  | en | 871  |
|                                  gourde                                 |                                   Gourde                                  |  es  | en | 872  |
|                      oficina del operador bursátil                      |                            stockbroker's office                           |  es  | en | 873  |
|                             riesgo de precio                            |                                 price risk                                |  es  | en | 874  |
|                                criterios                                |                                  criteria                                 |  es  | en | 875  |
|                                 colocar                                 |                                   place                                   |  es  | en | 876  |
|                            valor patrimonial                            |                                   equity                                  |  es  | en | 877  |
|                             acción cambiaria                            |                              exchange action                              |  es  | en | 878  |
|                                 inmueble                                |                                  property                                 |  es  | en | 879  |
|                                deben ture                               |                                 ture must                                 |  es  | en | 880  |
|                           reserva estatutaria                           |                             statutory reserve                             |  es  | en | 881  |
|                             liquidar activos                            |                              liquidate assets                             |  es  | en | 882  |
|                           ajuste por inflación                          |                            inflation adjustment                           |  es  | en | 883  |
|                    cartera representativa del mercado                   |                      representative market portfolio                      |  es  | en | 884  |
|                          privilegio de traspaso                         |                             transfer privilege                            |  es  | en | 885  |
|                         capitalización bursátil                         |                           market capitalization                           |  es  | en | 886  |
|                            recargos por mora                            |                              penalty charges                              |  es  | en | 887  |
|                        hipoteca de tasa variable                        |                           variable rate mortgage                          |  es  | en | 888  |
|                             libre de gastos                             |                               free of charge                              |  es  | en | 889  |
|                      precio de la última operación                      |                       price of the last transaction                       |  es  | en | 890  |
|                        bono con opción de reventa                       |                               puttable bond                               |  es  | en | 891  |
|                            costeo absorbente                            |                             absorption costing                            |  es  | en | 892  |
|                            tendencia bajista                            |                                 downtrend                                 |  es  | en | 893  |
|                        estado de cuenta bursátil                        |                             trading statement                             |  es  | en | 894  |
|                         emisión de gran demanda                         |                           great demand issuance                           |  es  | en | 895  |
|                  distribución normal de probabilidades                  |                    normal distribution of probabilities                   |  es  | en | 896  |
|                 estrategia contra adquisiciones hostiles                |                     strategy against hostile takeovers                    |  es  | en | 897  |
|                        sociedad gerente inscripta                       |                        managing company registered                        |  es  | en | 898  |
|                                 sinergia                                |                                  synergy                                  |  es  | en | 899  |
|                            gerente de cartera                           |                             portfolio manager                             |  es  | en | 900  |
|                    bonos de maduraciones escalonadas                    |                         staggered bond maturities                         |  es  | en | 901  |
|                           acciones ordinarias                           |                              ordinary shares                              |  es  | en | 902  |
|                              agente pagador                             |                                paying agent                               |  es  | en | 903  |
|                              mercado débil                              |                                weak market                                |  es  | en | 904  |
|                             sector primario                             |                               primary sector                              |  es  | en | 905  |
|                departamento de relaciones con inversores                |                       investor relations department                       |  es  | en | 906  |
|                           préstamo hipotecario                          |                                    loan                                   |  es  | en | 907  |
|                                rescindir                                |                                  rescind                                  |  es  | en | 908  |
|                           valor neto contable                           |                               net book value                              |  es  | en | 909  |
|                      agente bursátil independiente                      |                             independent broker                            |  es  | en | 910  |
|                             activos totales                             |                                Total assets                               |  es  | en | 911  |
|                             mercado interno                             |                              domestic market                              |  es  | en | 912  |
